id,plant_id
h101,101
u101,101
h102,103
u102,103
h103,105
u103,105
h104,107
u104,107
h105,111
u105,111
h106,102
u106,109
h107,104
u107,104
h108,106
u108,106
h109,108
u109,108
h110,112
u110,112
h111,102
u111,109
h112,104
u112,104
h113,103
u113,103
h114,113
u114,113
h115,114
u115,114
h116,105
u116,105
h117,113
u117,113
h118,114
u118,114
h119,111
u119,111
h120,106
u120,106
h121,107
u121,107
h122,108
u122,108
h123,101
u123,101
h124,112
u124,112
h125,115
u125,115
h126,116
u126,116
h127,117
u127,117
h128,118
u128,118
h129,119
u129,119
h130,120
u130,120
h131,121
u131,121
h132,122
u132,122
h133,123
u133,123
h134,124
u134,124
h135,125
u135,125
h136,126
u136,126
h137,126
u137,126
h138,125
u138,125
h139,124
u139,124
h140,123
u140,123
h141,122
u141,122
h142,121
u142,121
h143,120
u143,120
h144,119
u144,119
h145,118
u145,118
h146,117
u146,117
h147,116
u147,116
h148,115
u148,115
h201,201
u201,201
h202,202
u202,202
h203,203
u203,203
h204,204
u204,204
h205,205
u205,205
h206,206
u206,206
h207,207
u207,207
h208,208
u208,208
h209,209
u209,209
h210,210
u210,210
h211,211
u211,211
h212,212
u212,212
h213,213
u213,213
h214,214
u214,214
h215,210
u215,210
h216,209
u216,209
h217,208
u217,208
h218,207
u218,207
h219,206
u219,206
h220,205
u220,205
h221,204
u221,204
h222,203
u222,203
h223,202
u223,202
h224,201
u224,201
h225,221
u225,221
h226,222
u226,222
h227,223
u227,223
h228,224
u228,224
h229,225
u229,225
h230,226
u230,226
h231,227
u231,227
h232,228
u232,228
h233,229
u233,229
h234,230
u234,230
h235,231
u235,231
h236,232
u236,232
h237,233
u237,233
h238,234
u238,234
h239,230
u239,230
h240,229
u240,229
h241,228
u241,228
h242,227
u242,227
h243,226
u243,226
h244,225
u244,225
h245,224
u245,224
h246,223
u246,223
h247,222
u247,222
h248,221
u248,221
h301,301
u301,301
h302,302
u302,302
h303,303
u303,303
h304,304
u304,304
h305,305
u305,305
h306,306
u306,306
h307,307
u307,307
h308,308
u308,308
h309,309
u309,309
h310,310
u310,310
h311,311
u311,311
h312,312
u312,312
h313,312
u313,312
h314,311
u314,311
h315,310
u315,310
h316,309
u316,309
h317,308
u317,308
h318,307
u318,307
h319,306
u319,306
h320,305
u320,305
h321,304
u321,304
h322,303
u322,303
h323,302
u323,302
h324,301
u324,301
h325,318
u325,318
h326,317
u326,317
h327,316
u327,316
h328,315
u328,315
h329,314
u329,314
h330,313
u330,313
h331,319
u331,309
h332,310
u332,310
h333,303
u333,303
h334,305
u334,3111
h335,312
u335,312
h336,302
u336,302
h337,302
u337,302
h338,312
u338,312
h339,305
u339,3111
h340,303
u340,303
h341,310
u341,310
h342,319
u342,309
h343,313
u343,313
h344,314
u344,314
h345,315
u345,315
h346,316
u346,316
h347,317
u347,317
h348,318
u348,318
