
Model:	LI-1500 Light Sensor Logger	
Config:	4-PI-2	
MULT_3:	-233.90
Session Remark:	 	
Software Version:	1.2.0	
Timestamp:	20250103 10:20:26	
DATAH	Record	Date	Time	INPUT3	CHK	
DATA	0000000	2025-01-03	10:20:28	104.90	 75
DATA	0000001	2025-01-03	10:21:28	110.41	 70
DATA	0000002	2025-01-03	10:22:28	129.05	 82
DATA	0000003	2025-01-03	10:23:28	144.77	 90
DATA	0000004	2025-01-03	10:24:28	167.23	 88
DATA	0000005	2025-01-03	10:25:28	186.75	 98
DATA	0000006	2025-01-03	10:26:28	205.54	 89
DATA	0000007	2025-01-03	10:27:28	219.07	 94
DATA	0000008	2025-01-03	10:28:28	215.15	 91
DATA	0000009	2025-01-03	10:29:28	200.86	 95
DATA	0000010	2025-01-03	10:30:28	182.58	 87
DATA	0000011	2025-01-03	10:31:28	152.51	 79
DATA	0000012	2025-01-03	10:32:28	130.05	 76
DATA	0000013	2025-01-03	10:33:28	118.01	 80
DATA	0000014	2025-01-03	10:34:28	113.70	 83
DATA	0000015	2025-01-03	10:35:28	109.51	 89
DATA	0000016	2025-01-03	10:36:28	105.85	 94
DATA	0000017	2025-01-03	10:37:28	105.56	 94
DATA	0000018	2025-01-03	10:38:28	102.10	 83
DATA	0000019	2025-01-03	10:39:28	109.46	101
DATA	0000020	2025-01-03	10:40:28	111.04	 72
DATA	0000021	2025-01-03	10:41:28	108.05	 81
DATA	0000022	2025-01-03	10:42:28	96.418	 97
DATA	0000023	2025-01-03	10:43:28	93.676	102
DATA	0000024	2025-01-03	10:44:28	91.802	 93
DATA	0000025	2025-01-03	10:45:28	110.59	 91
DATA	0000026	2025-01-03	10:46:28	48.721	 99
DATA	0000027	2025-01-03	10:47:28	87.646	110
DATA	0000028	2025-01-03	10:48:28	85.316	104
DATA	0000029	2025-01-03	10:49:28	81.290	103
DATA	0000030	2025-01-03	10:50:28	79.230	 88
DATA	0000031	2025-01-03	10:51:28	77.424	 93
DATA	0000032	2025-01-03	10:52:28	76.323	 92
DATA	0000033	2025-01-03	10:53:28	76.134	 94
DATA	0000034	2025-01-03	10:54:28	76.129	100
DATA	0000035	2025-01-03	10:55:28	76.330	 96
DATA	0000036	2025-01-03	10:56:28	76.598	114
DATA	0000037	2025-01-03	10:57:28	51.079	103
DATA	0000038	2025-01-03	10:58:28	75.735	110
DATA	0000039	2025-01-03	10:59:28	74.222	102
DATA	0000040	2025-01-03	11:00:28	71.212	 77
DATA	0000041	2025-01-03	11:01:28	73.072	 85
DATA	0000042	2025-01-03	11:02:28	72.360	 86
DATA	0000043	2025-01-03	11:03:28	73.472	 93
DATA	0000044	2025-01-03	11:04:28	73.162	 91
DATA	0000045	2025-01-03	11:05:28	68.436	101
DATA	0000046	2025-01-03	11:06:28	78.036	100
DATA	0000047	2025-01-03	11:07:28	79.227	105
DATA	0000048	2025-01-03	11:08:28	78.356	109
DATA	0000049	2025-01-03	11:09:28	77.043	103
DATA	0000050	2025-01-03	11:10:28	76.368	 96
