"","id","unique_id","date","species","rlc_time","treatment","temp","nitrate","salinity","plant_id","n_g_m3_2d","p_g_m3_2d","treat_letter","run_combo","rlc_end_time","rlc_day","rlc_order","f0","fm","f","fm_prime","fv_fm","delta_npq","pmax","retr_max","retr_max_ypoint1","npq_max","alpha_est","alpha_se","alpha_t","alpha_pvalue","ek_est","ek_se","ek_t","ek_pvalue","lunar_phase","illumination"
"1","hm1-1","9/20/21_hm1-1",2021-09-20,"h",08:18:06,1,30,14,35,1,1.7,0.001,"b",1,08:22:09,1,1,111,315,111,315,0.648,1.447,96.03,94.3,94.3,1.006,0.773,NA,56.99,0,124.3,NA,26.64,0,"Full",0.989670288919469
"2","hm1-2","9/20/21_hm1-2",2021-09-20,"h",08:22:40,2,30,27,28,1,3.3,0.037,"c",1,08:26:42,1,1,105,330,105,330,0.682,1.597,99.21,106.6,106.6,1.143,0.779,NA,38.67,0,127.4,NA,17.9,0,"Full",0.989670288919469
"3","hm1-3","9/20/21_hm1-3",2021-09-20,"h",08:27:19,3,30,53,18,1,6.4,0.41,"e",1,08:31:21,1,1,76,237,76,237,0.679,1.164,91.26,119.72,119.72,0.823,0.76,NA,25.33,0,120,NA,12,0,"Full",0.989670288919469
"4","hm1-4","9/20/21_hm1-4",2021-09-20,"h",08:31:42,4,30,80,11,1,9.7,0.94,"f",1,08:35:45,1,1,97,297,97,297,0.673,1.232,106.02,103.32,103.32,0.967,0.73,NA,47.32,0,145.3,NA,20.81,0,"Full",0.989670288919469
"5","ul1-1","9/20/21_ul1-1",2021-09-20,"u",08:36:02,1,30,14,35,1,1.7,0.001,"b",1,08:40:04,1,1,124,588,124,588,0.789,0.973,126.5,115.62,115.62,0.656,0.602,NA,41.58,0,210.1,NA,15.88,0,"Full",0.989670288919469
"6","ul1-2","9/20/21_ul1-2",2021-09-20,"u",08:40:59,2,30,27,28,1,3.3,0.037,"c",1,08:45:01,1,1,136,609,136,609,0.777,0.997,78.75,75.18,75.18,0.701,0.639,NA,24.84,0,123.3,NA,11.65,0,"Full",0.989670288919469
"7","ul1-3","9/20/21_ul1-3",2021-09-20,"u",08:45:18,3,30,53,18,1,6.4,0.41,"e",1,08:49:20,1,1,146,679,146,679,0.785,0.807,65.24,67.55,67.55,0.583,0.739,NA,14.38,0,88.3,NA,7.71,0,"Full",0.989670288919469
"8","ul1-4","9/20/21_ul1-4",2021-09-20,"u",08:49:56,4,30,80,11,1,9.7,0.94,"f",1,08:53:59,1,1,152,712,152,712,0.787,0.93,63.89,65.84,65.84,0.633,0.714,NA,16.23,0,89.5,NA,8.66,0,"Full",0.989670288919469
"9","hm2-1","9/20/21_hm2-1",2021-09-20,"h",08:54:32,1,30,14,35,2,1.7,0.001,"b",1,08:58:34,1,2,107,285,107,285,0.625,1.116,73.27,96.76,96.76,0.804,0.642,NA,24.22,0,114.1,NA,11.71,0,"Full",0.989670288919469
"10","hm2-2","9/20/21_hm2-2",2021-09-20,"h",08:59:33,2,30,27,28,2,3.3,0.037,"c",1,09:03:35,1,2,102,273,102,273,0.626,1.128,73.19,82.82,82.82,0.832,0.681,NA,20.05,0,107.4,NA,9.93,0,"Full",0.989670288919469
