"","date","time","f","f0","fm","fm_prime","epar","yield","etr","npq","delta_npq","retr","id","fv_fm","unique_id","run_proxy","plant_id","treatment","rlc_order","temp","run","species","last_digit"
"1",2021-09-20,08:18:06,111,111,NA,315,0,0.648,0,"-",0,0,"hm1-1",0.648,"2021-09-20_hm1-1",1,1,"1",6,30,1,"h","1"
"2",2021-09-20,08:18:37,122,111,NA,295,66,0.586,16.2,"0.068",0,38.68,"hm1-1",0.648,"2021-09-20_hm1-1",1,1,"1",6,30,1,"h","1"
"3",2021-09-20,08:19:07,123,111,NA,280,90,0.561,21.2,"0.125",0,50.49,"hm1-1",0.648,"2021-09-20_hm1-1",1,1,"1",6,30,1,"h","1"
"4",2021-09-20,08:19:37,124,111,NA,244,125,0.492,25.8,"0.291",0,61.5,"hm1-1",0.648,"2021-09-20_hm1-1",1,1,"1",6,30,1,"h","1"
"5",2021-09-20,08:20:08,126,111,NA,210,190,0.4,31.9,"0.500",0,76,"hm1-1",0.648,"2021-09-20_hm1-1",1,1,"1",6,30,1,"h","1"
"6",2021-09-20,08:20:38,128,111,NA,184,285,0.304,36.4,"0.712",0,86.64,"hm1-1",0.648,"2021-09-20_hm1-1",1,1,"1",6,30,1,"h","1"
"7",2021-09-20,08:21:08,131,111,NA,167,420,0.216,38.1,"0.886",0,90.72,"hm1-1",0.648,"2021-09-20_hm1-1",1,1,"1",6,30,1,"h","1"
"8",2021-09-20,08:21:38,135,111,NA,158,625,0.146,38.3,"0.994",0,91.25,"hm1-1",0.648,"2021-09-20_hm1-1",1,1,"1",6,30,1,"h","1"
"9",2021-09-20,08:22:09,139,111,NA,157,820,0.115,39.6,"1.006",0,94.3,"hm1-1",0.648,"2021-09-20_hm1-1",1,1,"1",6,30,1,"h","1"
"10",2021-09-20,08:22:40,105,105,NA,330,0,0.682,0,"-",0,0,"hm1-2",0.682,"2021-09-20_hm1-2",1,1,"2",6,30,1,"h","2"
"11",2021-09-20,08:23:10,119,105,NA,304,66,0.609,16.9,"0.086",0,40.19,"hm1-2",0.682,"2021-09-20_hm1-2",1,1,"2",6,30,1,"h","2"
"12",2021-09-20,08:23:40,120,105,NA,279,90,0.57,21.5,"0.183",0,51.3,"hm1-2",0.682,"2021-09-20_hm1-2",1,1,"2",6,30,1,"h","2"
"13",2021-09-20,08:24:11,122,105,NA,234,125,0.479,25.1,"0.410",0,59.88,"hm1-2",0.682,"2021-09-20_hm1-2",1,1,"2",6,30,1,"h","2"
"14",2021-09-20,08:24:41,122,105,NA,204,190,0.402,32.1,"0.618",0,76.38,"hm1-2",0.682,"2021-09-20_hm1-2",1,1,"2",6,30,1,"h","2"
"15",2021-09-20,08:25:11,126,105,NA,184,285,0.315,37.7,"0.793",0,89.78,"hm1-2",0.682,"2021-09-20_hm1-2",1,1,"2",6,30,1,"h","2"
"16",2021-09-20,08:25:41,127,105,NA,167,420,0.24,42.3,"0.976",0,100.8,"hm1-2",0.682,"2021-09-20_hm1-2",1,1,"2",6,30,1,"h","2"
"17",2021-09-20,08:26:12,134,105,NA,156,625,0.141,37,"1.115",0,88.12,"hm1-2",0.682,"2021-09-20_hm1-2",1,1,"2",6,30,1,"h","2"
"18",2021-09-20,08:26:42,134,105,NA,154,820,0.13,44.8,"1.143",0,106.6,"hm1-2",0.682,"2021-09-20_hm1-2",1,1,"2",6,30,1,"h","2"
"19",2021-09-20,08:27:19,76,76,NA,237,0,0.679,0,"-",0,0,"hm1-3",0.679,"2021-09-20_hm1-3",1,1,"3",6,30,1,"h","3"
"20",2021-09-20,08:27:49,95,76,NA,223,66,0.574,15.9,"0.063",0,37.88,"hm1-3",0.679,"2021-09-20_hm1-3",1,1,"3",6,30,1,"h","3"
"21",2021-09-20,08:28:20,95,76,NA,213,90,0.554,20.9,"0.113",0,49.86,"hm1-3",0.679,"2021-09-20_hm1-3",1,1,"3",6,30,1,"h","3"
"22",2021-09-20,08:28:50,98,76,NA,186,125,0.473,24.8,"0.274",0,59.12,"hm1-3",0.679,"2021-09-20_hm1-3",1,1,"3",6,30,1,"h","3"
"23",2021-09-20,08:29:20,100,76,NA,159,190,0.371,29.6,"0.491",0,70.49,"hm1-3",0.679,"2021-09-20_hm1-3",1,1,"3",6,30,1,"h","3"
"24",2021-09-20,08:29:50,104,76,NA,145,285,0.283,33.9,"0.634",0,80.65,"hm1-3",0.679,"2021-09-20_hm1-3",1,1,"3",6,30,1,"h","3"
"25",2021-09-20,08:30:21,107,76,NA,135,420,0.207,36.5,"0.756",0,86.94,"hm1-3",0.679,"2021-09-20_hm1-3",1,1,"3",6,30,1,"h","3"
