Date,Time,ID,F,F0,Fm,Fm',Epar,Y(II),ETR,Fv/Fm,NPQ,deltaNPQ,rETR
2025-03-06,07:57:02,h201,191,191,556,556,0,0.656,0.0,0.656,-,0.0,0.0
2025-03-06,07:57:32,h201,218,191,556,359,25,0.393,4.1,0.656,0.549,0.0,9.83
2025-03-06,07:58:02,h201,227,191,556,319,45,0.288,5.4,0.656,0.743,0.0,12.96
2025-03-06,07:58:32,h201,235,191,556,294,65,0.201,5.5,0.656,0.891,0.0,13.07
2025-03-06,07:59:02,h201,240,191,556,282,90,0.149,5.6,0.656,0.972,0.0,13.41
2025-03-06,07:59:32,h201,246,191,556,274,125,0.102,5.4,0.656,1.029,0.0,12.75
2025-03-06,08:00:02,h201,251,191,556,269,190,0.067,5.3,0.656,1.067,0.0,12.73
2025-03-06,08:00:32,h201,253,191,556,265,285,0.045,5.4,0.656,1.098,0.0,12.82
2025-03-06,08:01:02,h201,255,191,556,263,420,0.030,5.3,0.656,1.114,0.0,12.6
2025-03-06,08:02:14,u201,311,311,1601,1601,0,0.806,0.0,0.806,-,0.0,0.0
2025-03-06,08:02:44,u201,647,311,1601,1340,25,0.517,5.4,0.806,0.195,0.0,12.93
2025-03-06,08:03:14,u201,776,311,1601,1297,45,0.402,7.6,0.806,0.234,0.0,18.09
2025-03-06,08:03:44,u201,868,311,1601,1289,65,0.327,8.9,0.806,0.242,0.0,21.26
2025-03-06,08:04:14,u201,956,311,1601,1291,90,0.259,9.8,0.806,0.240,0.0,23.31
2025-03-06,08:04:44,u201,1029,311,1601,1286,125,0.200,10.5,0.806,0.245,0.0,25.0
2025-03-06,08:05:14,u201,1093,311,1601,1271,190,0.140,11.2,0.806,0.260,0.0,26.6
2025-03-06,08:05:44,u201,1128,311,1601,1245,285,0.094,11.3,0.806,0.286,0.0,26.79
2025-03-06,08:06:14,u201,1137,311,1601,1205,420,0.056,9.9,0.806,0.329,0.0,23.52
2025-03-06,08:06:45,h202,251,251,655,655,0,0.617,0.0,0.617,-,0.0,0.0
2025-03-06,08:07:15,h202,309,251,655,459,25,0.327,3.4,0.617,0.427,0.0,8.18
2025-03-06,08:07:45,h202,320,251,655,434,45,0.263,5.0,0.617,0.509,0.0,11.84
2025-03-06,08:08:15,h202,331,251,655,414,65,0.200,5.5,0.617,0.582,0.0,13.0
2025-03-06,08:08:45,h202,338,251,655,398,90,0.151,5.7,0.617,0.646,0.0,13.59
2025-03-06,08:09:15,h202,344,251,655,392,125,0.122,6.4,0.617,0.671,0.0,15.25
2025-03-06,08:09:45,h202,351,251,655,384,190,0.086,6.9,0.617,0.706,0.0,16.34
2025-03-06,08:10:15,h202,356,251,655,379,285,0.061,7.3,0.617,0.728,0.0,17.38
2025-03-06,08:10:45,h202,357,251,655,374,420,0.045,7.9,0.617,0.751,0.0,18.9
2025-03-06,08:11:35,u202,441,441,2011,2011,0,0.781,0.0,0.781,-,0.0,0.0
2025-03-06,08:12:05,u202,845,441,2011,1486,25,0.431,4.5,0.781,0.353,0.0,10.78
2025-03-06,08:12:35,u202,942,441,2011,1390,45,0.322,6.1,0.781,0.447,0.0,14.49
2025-03-06,08:13:05,u202,993,441,2011,1353,65,0.266,7.3,0.781,0.486,0.0,17.29
2025-03-06,08:13:35,u202,1049,441,2011,1342,90,0.218,8.2,0.781,0.499,0.0,19.62
2025-03-06,08:14:05,u202,1103,441,2011,1334,125,0.173,9.1,0.781,0.507,0.0,21.62
2025-03-06,08:14:35,u202,1150,441,2011,1309,190,0.121,9.7,0.781,0.536,0.0,22.99
2025-03-06,08:15:05,u202,1149,441,2011,1255,285,0.084,10.1,0.781,0.602,0.0,23.94
2025-03-06,08:15:35,u202,1106,441,2011,1171,420,0.056,9.9,0.781,0.717,0.0,23.52
2025-03-06,08:16:09,h203,267,267,769,769,0,0.653,0.0,0.653,-,0.0,0.0
2025-03-06,08:16:39,h203,324,267,769,480,25,0.325,3.4,0.653,0.602,0.0,8.12
2025-03-06,08:17:09,h203,341,267,769,432,45,0.211,4.0,0.653,0.780,0.0,9.49
2025-03-06,08:17:39,h203,350,267,769,411,65,0.148,4.0,0.653,0.871,0.0,9.62
2025-03-06,08:18:09,h203,354,267,769,399,90,0.113,4.3,0.653,0.927,0.0,10.17
2025-03-06,08:18:39,h203,358,267,769,391,125,0.084,4.4,0.653,0.967,0.0,10.5
2025-03-06,08:19:09,h203,364,267,769,385,190,0.055,4.4,0.653,0.997,0.0,10.45
2025-03-06,08:19:39,h203,367,267,769,382,285,0.039,4.7,0.653,1.013,0.0,11.12
2025-03-06,08:20:09,h203,368,267,769,378,420,0.026,4.6,0.653,1.034,0.0,10.92
2025-03-06,08:20:33,u203,354,354,1644,1644,0,0.785,0.0,0.785,-,0.0,0.0
2025-03-06,08:21:03,u203,682,354,1644,1221,25,0.441,4.6,0.785,0.346,0.0,11.03
2025-03-06,08:21:33,u203,777,354,1644,1163,45,0.332,6.3,0.785,0.414,0.0,14.94
2025-03-06,08:22:03,u203,840,354,1644,1145,65,0.266,7.3,0.785,0.436,0.0,17.29
2025-03-06,08:22:33,u203,898,354,1644,1138,90,0.211,8.0,0.785,0.445,0.0,18.99
2025-03-06,08:23:03,u203,946,354,1644,1129,125,0.162,8.5,0.785,0.456,0.0,20.25
2025-03-06,08:23:33,u203,981,354,1644,1103,190,0.111,8.9,0.785,0.490,0.0,21.09
2025-03-06,08:24:03,u203,978,354,1644,1057,285,0.075,9.0,0.785,0.555,0.0,21.38
2025-03-06,08:24:33,u203,941,354,1644,985,420,0.045,7.9,0.785,0.669,0.0,18.9
2025-03-06,08:24:49,h204,190,190,556,556,0,0.658,0.0,0.658,-,0.0,0.0
2025-03-06,08:25:19,h204,213,190,556,361,25,0.410,4.3,0.658,0.540,0.0,10.25
2025-03-06,08:25:49,h204,221,190,556,314,45,0.296,5.6,0.658,0.771,0.0,13.32
2025-03-06,08:26:19,h204,229,190,556,288,65,0.205,5.6,0.658,0.931,0.0,13.32
2025-03-06,08:26:49,h204,233,190,556,275,90,0.153,5.8,0.658,1.022,0.0,13.77
2025-03-06,08:27:19,h204,236,190,556,266,125,0.113,5.9,0.658,1.090,0.0,14.12
2025-03-06,08:27:49,h204,241,190,556,258,190,0.066,5.3,0.658,1.155,0.0,12.54
2025-03-06,08:28:19,h204,244,190,556,256,285,0.047,5.6,0.658,1.172,0.0,13.39
2025-03-06,08:28:49,h204,247,190,556,255,420,0.031,5.5,0.658,1.180,0.0,13.02
2025-03-06,08:29:32,u204,538,538,2379,2379,0,0.774,0.0,0.774,-,0.0,0.0
2025-03-06,08:30:01,u204,1010,538,2379,1773,25,0.430,4.5,0.774,0.342,0.0,10.75
2025-03-06,08:30:31,u204,1151,538,2379,1700,45,0.323,6.1,0.774,0.399,0.0,14.54
2025-03-06,08:31:01,u204,1249,538,2379,1674,65,0.254,6.9,0.774,0.421,0.0,16.51
2025-03-06,08:31:31,u204,1334,538,2379,1663,90,0.198,7.5,0.774,0.431,0.0,17.82
2025-03-06,08:32:01,u204,1399,538,2379,1643,125,0.149,7.8,0.774,0.448,0.0,18.62
2025-03-06,08:32:31,u204,1442,538,2379,1600,190,0.099,7.9,0.774,0.487,0.0,18.81
2025-03-06,08:33:01,u204,1430,538,2379,1531,285,0.066,7.9,0.774,0.554,0.0,18.81
