Date,Time,ID,run,rlc_day,treatment,plant_id,temp,F,F0,Fm,Fm',Epar,Y(II),ETR,FvFm,NPQ,rETR,deltaNPQ
2023-03-09,7:49:52,hm01,1,1,1,21,24,109,109,256,256,0,0.574,0,0.574,-,0,0
2023-03-09,7:50:22,hm01,1,1,1,21,24,120,109,256,237,66,0.494,13.7,0.574,0.08,32.6,0
2023-03-09,7:50:52,hm01,1,1,1,21,24,122,109,256,220,90,0.445,16.8,0.574,0.164,40.05,0
2023-03-09,7:51:23,hm01,1,1,1,21,24,126,109,256,209,125,0.397,20.8,0.574,0.225,49.62,0
2023-03-09,7:51:53,hm01,1,1,1,21,24,129,109,256,200,190,0.355,28.3,0.574,0.28,67.45,0
2023-03-09,7:52:23,hm01,1,1,1,21,24,135,109,256,188,285,0.282,33.8,0.574,0.362,80.37,0
2023-03-09,7:52:53,hm01,1,1,1,21,24,140,109,256,183,420,0.235,41.5,0.574,0.399,98.7,0
2023-03-09,7:53:24,hm01,1,1,1,21,24,147,109,256,177,625,0.169,44.4,0.574,0.446,105.62,0
2023-03-09,7:53:54,hm01,1,1,1,21,24,148,109,256,175,820,0.154,53,0.574,0.463,126.28,0.383
2023-03-09,7:54:46,hm02,1,1,1,,24,64,64,184,184,0,0.652,0,0.652,-,0,0
2023-03-09,7:55:17,hm02,1,1,1,,24,72,64,184,167,66,0.569,15.8,0.652,0.102,37.55,0
2023-03-09,7:55:47,hm02,1,1,1,,24,68,64,184,133,90,0.489,18.5,0.652,0.383,44.01,0
2023-03-09,7:56:17,hm02,1,1,1,,24,69,64,184,110,125,0.373,19.6,0.652,0.673,46.62,0
2023-03-09,7:56:47,hm02,1,1,1,,24,74,64,184,100,190,0.26,20.7,0.652,0.84,49.4,0
2023-03-09,7:57:18,hm02,1,1,1,,24,75,64,184,94,285,0.202,24.2,0.652,0.957,57.57,0
2023-03-09,7:57:48,hm02,1,1,1,,24,75,64,184,89,420,0.157,27.7,0.652,1.067,65.94,0
2023-03-09,7:58:18,hm02,1,1,1,,24,78,64,184,86,625,0.093,24.4,0.652,1.14,58.12,0
2023-03-09,7:58:49,hm02,1,1,1,,24,79,64,184,88,820,0.102,35.1,0.652,1.091,83.64,0.989
2023-03-09,8:00:03,hm09,1,1,1,,24,126,126,361,361,0,0.651,0,0.651,-,0,0
2023-03-09,8:00:34,hm09,1,1,1,,24,144,126,361,303,66,0.525,14.6,0.651,0.191,34.65,0
2023-03-09,8:01:04,hm09,1,1,1,,24,145,126,361,253,90,0.427,16.1,0.651,0.427,38.43,0
2023-03-09,8:01:34,hm09,1,1,1,,24,154,126,361,226,125,0.319,16.7,0.651,0.597,39.88,0
2023-03-09,8:02:05,hm09,1,1,1,,24,160,126,361,210,190,0.238,19,0.651,0.719,45.22,0
2023-03-09,8:02:35,hm09,1,1,1,,24,163,126,361,195,285,0.164,19.6,0.651,0.851,46.74,0
2023-03-09,8:03:05,hm09,1,1,1,,24,168,126,361,186,420,0.097,17.1,0.651,0.941,40.74,0
2023-03-09,8:03:35,hm09,1,1,1,,24,169,126,361,178,625,0.051,13.4,0.651,1.028,31.87,0
2023-03-09,8:04:06,hm09,1,1,1,,24,171,126,361,181,820,0.055,18.9,0.651,0.994,45.1,0.803
2023-03-09,8:04:28,hm10,1,1,1,,24,97,97,256,256,0,0.621,0,0.621,-,0,0
2023-03-09,8:04:58,hm10,1,1,1,,24,109,97,256,243,66,0.551,15.3,0.621,0.053,36.37,0
2023-03-09,8:05:28,hm10,1,1,1,,24,110,97,256,217,90,0.493,18.6,0.621,0.18,44.37,0
2023-03-09,8:05:58,hm10,1,1,1,,24,112,97,256,177,125,0.367,19.3,0.621,0.446,45.88,0
2023-03-09,8:06:29,hm10,1,1,1,,24,113,97,256,149,190,0.242,19.3,0.621,0.718,45.98,0
2023-03-09,8:06:59,hm10,1,1,1,,24,115,97,256,136,285,0.154,18.4,0.621,0.882,43.89,0
2023-03-09,8:07:29,hm10,1,1,1,,24,121,97,256,131,420,0.076,13.4,0.621,0.954,31.92,0
2023-03-09,8:08:00,hm10,1,1,1,,24,121,97,256,127,625,0.047,12.3,0.621,1.016,29.38,0
2023-03-09,8:08:30,hm10,1,1,1,,24,122,97,256,130,820,0.062,21.4,0.621,0.969,50.84,0.916
2023-03-09,8:08:55,hm17,1,1,1,,27,108,108,321,321,0,0.664,0,0.664,-,0,0
2023-03-09,8:09:25,hm17,1,1,1,,27,123,108,321,270,66,0.544,15.1,0.664,0.189,35.9,0
2023-03-09,8:09:55,hm17,1,1,1,,27,121,108,321,221,90,0.452,17.1,0.664,0.452,40.68,0
2023-03-09,8:10:26,hm17,1,1,1,,27,123,108,321,189,125,0.349,18.3,0.664,0.698,43.62,0
2023-03-09,8:10:56,hm17,1,1,1,,27,128,108,321,171,190,0.251,20,0.664,0.877,47.69,0
2023-03-09,8:11:26,hm17,1,1,1,,27,130,108,321,160,285,0.188,22.5,0.664,1.006,53.58,0
2023-03-09,8:11:56,hm17,1,1,1,,27,134,108,321,152,420,0.118,20.8,0.664,1.112,49.56,0
2023-03-09,8:12:27,hm17,1,1,1,,27,137,108,321,148,625,0.074,19.4,0.664,1.169,46.25,0
2023-03-09,8:12:57,hm17,1,1,1,,27,141,108,321,149,820,0.054,18.6,0.664,1.154,44.28,0.965
2023-03-09,8:13:26,hm18,1,1,1,,27,73,73,218,218,0,0.665,0,0.665,-,0,0
2023-03-09,8:13:56,hm18,1,1,1,,27,83,73,218,178,66,0.534,14.8,0.665,0.225,35.24,0
2023-03-09,8:14:27,hm18,1,1,1,,27,82,73,218,135,90,0.393,14.9,0.665,0.615,35.37,0
2023-03-09,8:14:57,hm18,1,1,1,,27,83,73,218,116,125,0.284,14.9,0.665,0.879,35.5,0
2023-03-09,8:15:27,hm18,1,1,1,,27,87,73,218,107,190,0.187,14.9,0.665,1.037,35.53,0
2023-03-09,8:15:57,hm18,1,1,1,,27,87,73,218,102,285,0.147,17.6,0.665,1.137,41.89,0
2023-03-09,8:16:28,hm18,1,1,1,,27,92,73,218,102,420,0.098,17.3,0.665,1.137,41.16,0
2023-03-09,8:16:58,hm18,1,1,1,,27,94,73,218,99,625,0.051,13.4,0.665,1.202,31.87,0
2023-03-09,8:17:28,hm18,1,1,1,,27,94,73,218,100,820,0.06,20.7,0.665,1.18,49.2,0.955
2023-03-09,8:18:05,hm25,1,1,1,,27,71,71,191,191,0,0.628,0,0.628,-,0,0
2023-03-09,8:18:35,hm25,1,1,1,,27,83,71,191,168,66,0.506,14,0.628,0.137,33.4,0
2023-03-09,8:19:06,hm25,1,1,1,,27,84,71,191,147,90,0.429,16.2,0.628,0.299,38.61,0
2023-03-09,8:19:36,hm25,1,1,1,,27,86,71,191,131,125,0.344,18.1,0.628,0.458,43,0
2023-03-09,8:20:06,hm25,1,1,1,,27,90,71,191,122,190,0.262,20.9,0.628,0.566,49.78,0
2023-03-09,8:20:37,hm25,1,1,1,,27,91,71,191,114,285,0.202,24.2,0.628,0.675,57.57,0
2023-03-09,8:21:07,hm25,1,1,1,,27,93,71,191,112,420,0.17,30,0.628,0.705,71.4,0
2023-03-09,8:21:37,hm25,1,1,1,,27,99,71,191,109,625,0.092,24.2,0.628,0.752,57.5,0
2023-03-09,8:22:08,hm25,1,1,1,,27,99,71,191,109,820,0.092,31.7,0.628,0.752,75.44,0.615
2023-03-09,8:23:38,hm26,1,1,1,,27,92,92,219,219,0,0.58,0,0.58,-,0,0
2023-03-09,8:24:08,hm26,1,1,1,,27,110,92,219,185,66,0.405,11.2,0.58,0.184,26.73,0
2023-03-09,8:24:38,hm26,1,1,1,,27,112,92,219,186,90,0.398,15,0.58,0.177,35.82,0
2023-03-09,8:25:09,hm26,1,1,1,,27,118,92,219,173,125,0.318,16.7,0.58,0.266,39.75,0
2023-03-09,8:25:39,hm26,1,1,1,,27,122,92,219,160,190,0.238,19,0.58,0.369,45.22,0
2023-03-09,8:26:09,hm26,1,1,1,,27,126,92,219,153,285,0.176,21.1,0.58,0.431,50.16,0
2023-03-09,8:26:39,hm26,1,1,1,,27,130,92,219,149,420,0.128,22.6,0.58,0.47,53.76,0
2023-03-09,8:27:10,hm26,1,1,1,,27,136,92,219,147,625,0.075,19.7,0.58,0.49,46.88,0
2023-03-09,8:27:40,hm26,1,1,1,,27,135,92,219,146,820,0.075,25.8,0.58,0.5,61.5,0.316
2023-03-09,8:28:50,hm33,1,1,1,,30,76,76,212,212,0,0.642,0,0.642,-,0,0
2023-03-09,8:29:20,hm33,1,1,1,,30,85,76,212,171,66,0.503,13.9,0.642,0.24,33.2,0
2023-03-09,8:29:51,hm33,1,1,1,,30,84,76,212,147,90,0.429,16.2,0.642,0.442,38.61,0
2023-03-09,8:30:21,hm33,1,1,1,,30,85,76,212,131,125,0.351,18.4,0.642,0.618,43.88,0
2023-03-09,8:30:51,hm33,1,1,1,,30,88,76,212,121,190,0.273,21.8,0.642,0.752,51.87,0
2023-03-09,8:31:21,hm33,1,1,1,,30,89,76,212,110,285,0.191,22.9,0.642,0.927,54.44,0
2023-03-09,8:31:52,hm33,1,1,1,,30,91,76,212,105,420,0.133,23.5,0.642,1.019,55.86,0
2023-03-09,8:32:22,hm33,1,1,1,,30,95,76,212,103,625,0.078,20.5,0.642,1.058,48.75,0
2023-03-09,8:32:52,hm33,1,1,1,,30,98,76,212,104,820,0.058,20,0.642,1.038,47.56,0.798
2023-03-09,8:37:11,hm34,1,1,1,,30,79,79,207,207,0,0.618,0,0.618,-,0,0
2023-03-09,8:37:41,hm34,1,1,1,,30,89,79,207,175,66,0.491,13.6,0.618,0.183,32.41,0
2023-03-09,8:38:11,hm34,1,1,1,,30,90,79,207,154,90,0.416,15.7,0.618,0.344,37.44,0
2023-03-09,8:38:41,hm34,1,1,1,,30,93,79,207,137,125,0.321,16.9,0.618,0.511,40.12,0
2023-03-09,8:39:12,hm34,1,1,1,,30,94,79,207,124,190,0.242,19.3,0.618,0.669,45.98,0
