"2023-03-13";"11:48:30";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-03-13 07:59:43.949";"2023-03-13";"07:59:43";"SLCS";"";"Light Curve start ";"hm09"
"2023-03-13 07:59:43.949";"2023-03-13";"07:59:43";"REG1";"";"#1: alpha: 2.474, ETRm: 12.711, Ik: 5.138   ( beta: 0.000, ETRmPot: 12.729 )   (Platt et al. 1980) ";""
"2023-03-13 07:59:43.949";"2023-03-13";"07:59:43";"REG2";"";"#1: alpha: 2.289, ETRm: 12.612, Ik: 5.510   (Jassby and Platt 1976) ";""
"2023-03-13 07:59:45.633";"2023-03-13";"07:59:45";"FO";"1";"115";"355";"0";"0.676";"0.0";"-";"115";"355";"0.676"
"2023-03-13 08:00:15.929";"2023-03-13";"08:00:15";"F";"2";"130";"242";"66";"0.463";"12.8";"0.467";"115";"355";"0.676"
"2023-03-13 08:00:46.220";"2023-03-13";"08:00:46";"F";"3";"132";"207";"90";"0.362";"13.7";"0.715";"115";"355";"0.676"
"2023-03-13 08:01:16.523";"2023-03-13";"08:01:16";"F";"4";"138";"181";"125";"0.238";"12.5";"0.961";"115";"355";"0.676"
"2023-03-13 08:01:46.816";"2023-03-13";"08:01:46";"F";"5";"142";"169";"190";"0.160";"12.8";"1.101";"115";"355";"0.676"
"2023-03-13 08:02:17.111";"2023-03-13";"08:02:17";"F";"6";"146";"164";"285";"0.110";"13.2";"1.165";"115";"355";"0.676"
"2023-03-13 08:02:47.410";"2023-03-13";"08:02:47";"F";"7";"150";"160";"420";"0.063";"11.1";"1.219";"115";"355";"0.676"
"2023-03-13 08:03:17.703";"2023-03-13";"08:03:17";"F";"8";"153";"159";"625";"0.038";"10.0";"1.233";"115";"355";"0.676"
"2023-03-13 08:03:47.997";"2023-03-13";"08:03:47";"F";"9";"154";"161";"820";"0.043";"14.8";"1.205";"115";"355";"0.676"
"2023-03-13 08:03:50.529";"2023-03-13";"08:03:50";"SLCE";"";"Light Curve end ";""
"2023-03-13 08:04:25.315";"2023-03-13";"08:04:25";"SLCS";"";"Light Curve start ";"hm10"
"2023-03-13 08:04:25.315";"2023-03-13";"08:04:25";"REG1";"";"#1: alpha: 0.633, ETRm: 12.909, Ik: 20.405   ( beta: 0.000, ETRmPot: 12.950 )   (Platt et al. 1980) ";""
"2023-03-13 08:04:25.315";"2023-03-13";"08:04:25";"REG2";"";"#1: alpha: 0.386, ETRm: 12.864, Ik: 33.365   (Jassby and Platt 1976) ";""
"2023-03-13 08:04:26.994";"2023-03-13";"08:04:26";"FO";"10";"122";"337";"0";"0.638";"0.0";"-";"122";"337";"0.638"
"2023-03-13 08:04:57.289";"2023-03-13";"08:04:57";"F";"11";"137";"244";"66";"0.439";"12.2";"0.381";"122";"337";"0.638"
"2023-03-13 08:05:27.586";"2023-03-13";"08:05:27";"F";"12";"137";"211";"90";"0.351";"13.3";"0.597";"122";"337";"0.638"
"2023-03-13 08:05:57.882";"2023-03-13";"08:05:57";"F";"13";"143";"189";"125";"0.243";"12.8";"0.783";"122";"337";"0.638"
"2023-03-13 08:06:28.180";"2023-03-13";"08:06:28";"F";"14";"148";"179";"190";"0.173";"13.8";"0.883";"122";"337";"0.638"
"2023-03-13 08:06:58.476";"2023-03-13";"08:06:58";"F";"15";"153";"172";"285";"0.110";"13.2";"0.959";"122";"337";"0.638"
"2023-03-13 08:07:28.763";"2023-03-13";"08:07:28";"F";"16";"157";"168";"420";"0.065";"11.5";"1.006";"122";"337";"0.638"
"2023-03-13 08:07:59.066";"2023-03-13";"08:07:59";"F";"17";"161";"168";"625";"0.042";"11.0";"1.006";"122";"337";"0.638"
"2023-03-13 08:08:29.357";"2023-03-13";"08:08:29";"F";"18";"161";"168";"820";"0.042";"14.5";"1.006";"122";"337";"0.638"
"2023-03-13 08:08:31.770";"2023-03-13";"08:08:31";"SLCE";"";"Light Curve end ";""
"2023-03-13 08:09:29.297";"2023-03-13";"08:09:29";"SLCS";"";"Light Curve start ";"hm11"
"2023-03-13 08:09:29.297";"2023-03-13";"08:09:29";"REG1";"";"#1: alpha: 0.317, ETRm: 16.330, Ik: 51.531   ( beta: 0.007, ETRmPot: 18.113 )   (Platt et al. 1980) ";""
"2023-03-13 08:09:29.297";"2023-03-13";"08:09:29";"REG2";"";"#1: alpha: 0.270, ETRm: 15.149, Ik: 56.033   (Jassby and Platt 1976) ";""
"2023-03-13 08:09:31.055";"2023-03-13";"08:09:31";"FO";"19";"121";"350";"0";"0.654";"0.0";"-";"121";"350";"0.654"
"2023-03-13 08:10:01.342";"2023-03-13";"08:10:01";"F";"20";"143";"257";"66";"0.444";"12.3";"0.362";"121";"350";"0.654"
"2023-03-13 08:10:31.642";"2023-03-13";"08:10:31";"F";"21";"139";"225";"90";"0.382";"14.4";"0.556";"121";"350";"0.654"
"2023-03-13 08:11:01.934";"2023-03-13";"08:11:01";"F";"22";"144";"199";"125";"0.276";"14.5";"0.759";"121";"350";"0.654"
"2023-03-13 08:11:32.235";"2023-03-13";"08:11:32";"F";"23";"149";"186";"190";"0.199";"15.9";"0.882";"121";"350";"0.654"
"2023-03-13 08:12:02.525";"2023-03-13";"08:12:02";"F";"24";"154";"178";"285";"0.135";"16.2";"0.966";"121";"350";"0.654"
"2023-03-13 08:12:32.829";"2023-03-13";"08:12:32";"F";"25";"157";"174";"420";"0.098";"17.3";"1.011";"121";"350";"0.654"
"2023-03-13 08:13:03.124";"2023-03-13";"08:13:03";"F";"26";"162";"170";"625";"0.047";"12.3";"1.059";"121";"350";"0.654"
"2023-03-13 08:13:33.415";"2023-03-13";"08:13:33";"F";"27";"164";"171";"820";"0.041";"14.1";"1.047";"121";"350";"0.654"
"2023-03-13 08:13:36.319";"2023-03-13";"08:13:36";"SLCE";"";"Light Curve end ";""
"2023-03-13 08:13:52.226";"2023-03-13";"08:13:52";"SLCS";"";"Light Curve start ";"hm12"
"2023-03-13 08:13:52.226";"2023-03-13";"08:13:52";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.011, ETRmPot: 16.990 )   (Platt et al. 1980) ";""
"2023-03-13 08:13:52.226";"2023-03-13";"08:13:52";"REG2";"";"#1: alpha: 0.197, ETRm: 23.794, Ik: 120.526   (Jassby and Platt 1976) ";""
"2023-03-13 08:13:53.913";"2023-03-13";"08:13:53";"FO";"28";"83";"223";"0";"0.628";"0.0";"-";"83";"223";"0.628"
"2023-03-13 08:14:24.207";"2023-03-13";"08:14:24";"F";"29";"94";"184";"66";"0.489";"13.6";"0.212";"83";"223";"0.628"
"2023-03-13 08:14:54.503";"2023-03-13";"08:14:54";"F";"30";"95";"165";"90";"0.424";"16.0";"0.352";"83";"223";"0.628"
"2023-03-13 08:15:24.802";"2023-03-13";"08:15:24";"F";"31";"97";"148";"125";"0.345";"18.1";"0.507";"83";"223";"0.628"
"2023-03-13 08:15:55.093";"2023-03-13";"08:15:55";"F";"32";"102";"133";"190";"0.233";"18.6";"0.677";"83";"223";"0.628"
"2023-03-13 08:16:25.392";"2023-03-13";"08:16:25";"F";"33";"105";"128";"285";"0.180";"21.5";"0.742";"83";"223";"0.628"
"2023-03-13 08:16:55.686";"2023-03-13";"08:16:55";"F";"34";"108";"124";"420";"0.129";"22.8";"0.798";"83";"223";"0.628"
"2023-03-13 08:17:25.989";"2023-03-13";"08:17:25";"F";"35";"112";"122";"625";"0.082";"21.5";"0.828";"83";"223";"0.628"
"2023-03-13 08:17:56.279";"2023-03-13";"08:17:56";"F";"36";"113";"124";"820";"0.089";"30.7";"0.798";"83";"223";"0.628"
"2023-03-13 08:17:59.093";"2023-03-13";"08:17:59";"SLCE";"";"Light Curve end ";""
"2023-03-13 08:18:15.707";"2023-03-13";"08:18:15";"SLCS";"";"Light Curve start ";"hm13"
"2023-03-13 08:18:15.707";"2023-03-13";"08:18:15";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.008, ETRmPot: 11.938 )   (Platt et al. 1980) ";""
"2023-03-13 08:18:15.707";"2023-03-13";"08:18:15";"REG2";"";"#1: alpha: 0.224, ETRm: 16.396, Ik: 73.282   (Jassby and Platt 1976) ";""
"2023-03-13 08:18:17.381";"2023-03-13";"08:18:17";"FO";"37";"90";"254";"0";"0.646";"0.0";"-";"90";"254";"0.646"
"2023-03-13 08:18:47.674";"2023-03-13";"08:18:47";"F";"38";"105";"189";"66";"0.444";"12.3";"0.344";"90";"254";"0.646"
"2023-03-13 08:19:17.972";"2023-03-13";"08:19:17";"F";"39";"105";"167";"90";"0.371";"14.0";"0.521";"90";"254";"0.646"
"2023-03-13 08:19:48.267";"2023-03-13";"08:19:48";"F";"40";"106";"147";"125";"0.279";"14.6";"0.728";"90";"254";"0.646"
"2023-03-13 08:20:18.563";"2023-03-13";"08:20:18";"F";"41";"111";"134";"190";"0.172";"13.7";"0.896";"90";"254";"0.646"
"2023-03-13 08:20:48.860";"2023-03-13";"08:20:48";"F";"42";"114";"131";"285";"0.130";"15.6";"0.939";"90";"254";"0.646"
"2023-03-13 08:21:19.150";"2023-03-13";"08:21:19";"F";"43";"119";"128";"420";"0.070";"12.3";"0.984";"90";"254";"0.646"
"2023-03-13 08:21:49.448";"2023-03-13";"08:21:49";"F";"44";"120";"128";"625";"0.063";"16.5";"0.984";"90";"254";"0.646"
"2023-03-13 08:22:19.749";"2023-03-13";"08:22:19";"F";"45";"121";"130";"820";"0.069";"23.8";"0.954";"90";"254";"0.646"
"2023-03-13 08:22:22.973";"2023-03-13";"08:22:22";"SLCE";"";"Light Curve end ";""
"2023-03-13 08:22:55.591";"2023-03-13";"08:22:55";"SLCS";"";"Light Curve start ";"hm14"
"2023-03-13 08:22:55.591";"2023-03-13";"08:22:55";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.008, ETRmPot: 21.441 )   (Platt et al. 1980) ";""
"2023-03-13 08:22:55.591";"2023-03-13";"08:22:55";"REG2";"";"#1: alpha: 0.190, ETRm: 25.993, Ik: 136.906   (Jassby and Platt 1976) ";""
"2023-03-13 08:22:57.330";"2023-03-13";"08:22:57";"FO";"46";"126";"293";"0";"0.570";"0.0";"-";"126";"293";"0.570"
"2023-03-13 08:23:27.639";"2023-03-13";"08:23:27";"F";"47";"145";"255";"66";"0.431";"11.9";"0.149";"126";"293";"0.570"
"2023-03-13 08:23:57.933";"2023-03-13";"08:23:57";"F";"48";"142";"247";"90";"0.425";"16.1";"0.186";"126";"293";"0.570"
"2023-03-13 08:24:28.223";"2023-03-13";"08:24:28";"F";"49";"149";"230";"125";"0.352";"18.5";"0.274";"126";"293";"0.570"
"2023-03-13 08:24:58.521";"2023-03-13";"08:24:58";"F";"50";"154";"213";"190";"0.277";"22.1";"0.376";"126";"293";"0.570"
"2023-03-13 08:25:28.822";"2023-03-13";"08:25:28";"F";"51";"162";"202";"285";"0.198";"23.7";"0.450";"126";"293";"0.570"
"2023-03-13 08:25:59.118";"2023-03-13";"08:25:59";"F";"52";"167";"195";"420";"0.144";"25.4";"0.503";"126";"293";"0.570"
"2023-03-13 08:26:29.414";"2023-03-13";"08:26:29";"F";"53";"173";"190";"625";"0.089";"23.4";"0.542";"126";"293";"0.570"
"2023-03-13 08:26:59.703";"2023-03-13";"08:26:59";"F";"54";"173";"190";"820";"0.089";"30.7";"0.542";"126";"293";"0.570"
"2023-03-13 08:27:02.897";"2023-03-13";"08:27:02";"SLCE";"";"Light Curve end ";""
"2023-03-13 08:27:49.053";"2023-03-13";"08:27:49";"SLCS";"";"Light Curve start ";"hm15"
"2023-03-13 08:27:49.053";"2023-03-13";"08:27:49";"REG1";"";"#1: alpha: 0.296, ETRm: 27.637, Ik: 93.435   ( beta: 0.005, ETRmPot: 30.174 )   (Platt et al. 1980) ";""
"2023-03-13 08:27:49.053";"2023-03-13";"08:27:49";"REG2";"";"#1: alpha: 0.228, ETRm: 27.061, Ik: 118.496   (Jassby and Platt 1976) ";""
"2023-03-13 08:27:50.804";"2023-03-13";"08:27:50";"FO";"55";"79";"196";"0";"0.597";"0.0";"-";"79";"196";"0.597"
"2023-03-13 08:28:21.095";"2023-03-13";"08:28:21";"F";"56";"83";"162";"66";"0.488";"13.5";"0.210";"79";"196";"0.597"
"2023-03-13 08:28:51.389";"2023-03-13";"08:28:51";"F";"57";"84";"157";"90";"0.465";"17.6";"0.248";"79";"196";"0.597"
"2023-03-13 08:29:21.685";"2023-03-13";"08:29:21";"F";"58";"86";"143";"125";"0.399";"20.9";"0.371";"79";"196";"0.597"
"2023-03-13 08:29:51.981";"2023-03-13";"08:29:51";"F";"59";"90";"131";"190";"0.313";"25.0";"0.496";"79";"196";"0.597"
"2023-03-13 08:30:22.282";"2023-03-13";"08:30:22";"F";"60";"94";"122";"285";"0.230";"27.5";"0.607";"79";"196";"0.597"
"2023-03-13 08:30:52.576";"2023-03-13";"08:30:52";"F";"61";"97";"115";"420";"0.157";"27.7";"0.704";"79";"196";"0.597"
"2023-03-13 08:31:22.872";"2023-03-13";"08:31:22";"F";"62";"102";"113";"625";"0.097";"25.5";"0.735";"79";"196";"0.597"
"2023-03-13 08:31:53.169";"2023-03-13";"08:31:53";"F";"63";"105";"114";"820";"0.079";"27.2";"0.719";"79";"196";"0.597"
"2023-03-13 08:31:55.872";"2023-03-13";"08:31:55";"SLCE";"";"Light Curve end ";""
"2023-03-13 08:32:12.422";"2023-03-13";"08:32:12";"SLCS";"";"Light Curve start ";"hm16"
"2023-03-13 08:32:12.422";"2023-03-13";"08:32:12";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.002, ETRmPot: 15.720 )   (Platt et al. 1980) ";""
"2023-03-13 08:32:12.422";"2023-03-13";"08:32:12";"REG2";"";"#1: alpha: 0.225, ETRm: 16.870, Ik: 75.006   (Jassby and Platt 1976) ";""
"2023-03-13 08:32:14.167";"2023-03-13";"08:32:14";"FO";"64";"130";"297";"0";"0.562";"0.0";"-";"130";"297";"0.562"
"2023-03-13 08:32:44.461";"2023-03-13";"08:32:44";"F";"65";"144";"240";"66";"0.400";"11.1";"0.238";"130";"297";"0.562"
"2023-03-13 08:33:14.758";"2023-03-13";"08:33:14";"F";"66";"142";"232";"90";"0.388";"14.7";"0.280";"130";"297";"0.562"
"2023-03-13 08:33:45.049";"2023-03-13";"08:33:45";"F";"67";"145";"207";"125";"0.300";"15.8";"0.435";"130";"297";"0.562"
"2023-03-13 08:34:15.352";"2023-03-13";"08:34:15";"F";"68";"150";"195";"190";"0.231";"18.4";"0.523";"130";"297";"0.562"
"2023-03-13 08:34:45.647";"2023-03-13";"08:34:45";"F";"69";"156";"181";"285";"0.138";"16.5";"0.641";"130";"297";"0.562"
"2023-03-13 08:35:15.939";"2023-03-13";"08:35:15";"F";"70";"159";"174";"420";"0.086";"15.2";"0.707";"130";"297";"0.562"
"2023-03-13 08:35:46.239";"2023-03-13";"08:35:46";"F";"71";"164";"172";"625";"0.047";"12.3";"0.727";"130";"297";"0.562"
"2023-03-13 08:36:16.528";"2023-03-13";"08:36:16";"F";"72";"164";"175";"820";"0.063";"21.7";"0.697";"130";"297";"0.562"
"2023-03-13 08:36:19.591";"2023-03-13";"08:36:19";"SLCE";"";"Light Curve end ";""
"2023-03-13 08:36:54.599";"2023-03-13";"08:36:54";"SLCS";"";"Light Curve start ";"hm17"
"2023-03-13 08:36:54.599";"2023-03-13";"08:36:54";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
