"2023-03-14";"11:53:44";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-03-14 07:53:13.419";"2023-03-14";"07:53:13";"SLCS";"";"Light Curve start ";"ul10"
"2023-03-14 07:53:13.419";"2023-03-14";"07:53:13";"REG1";"";"#1: alpha: 0.307, ETRm: 13.663, Ik: 44.513   ( beta: 0.106, ETRmPot: 29.445 )   (Platt et al. 1980) ";""
"2023-03-14 07:53:13.419";"2023-03-14";"07:53:13";"REG2";"";"#1: alpha: 1.400, ETRm: 11.217, Ik: 8.015   (Jassby and Platt 1976) ";""
"2023-03-14 07:53:15.164";"2023-03-14";"07:53:15";"FO";"1";"133";"405";"0";"0.672";"0.0";"-";"-";"133";"405";"0.672"
"2023-03-14 07:53:45.454";"2023-03-14";"07:53:45";"F";"2";"201";"350";"66";"0.426";"11.8";"126";"0.157";"133";"405";"0.672"
"2023-03-14 07:54:15.752";"2023-03-14";"07:54:15";"F";"3";"216";"330";"90";"0.345";"13.0";"124";"0.227";"133";"405";"0.672"
"2023-03-14 07:54:46.047";"2023-03-14";"07:54:46";"F";"4";"238";"317";"125";"0.249";"13.1";"122";"0.278";"133";"405";"0.672"
"2023-03-14 07:55:16.347";"2023-03-14";"07:55:16";"F";"5";"256";"306";"190";"0.163";"13.0";"120";"0.324";"133";"405";"0.672"
"2023-03-14 07:55:46.646";"2023-03-14";"07:55:46";"F";"6";"268";"293";"285";"0.085";"10.2";"118";"0.382";"133";"405";"0.672"
"2023-03-14 07:56:16.936";"2023-03-14";"07:56:16";"F";"7";"274";"284";"420";"0.035";"6.2";"117";"0.426";"133";"405";"0.672"
"2023-03-14 07:56:47.237";"2023-03-14";"07:56:47";"F";"8";"275";"274";"625";"-";"-";"-";"-";"133";"405";"0.672"
