"2023-04-07";"11:39:09";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-04-07 07:57:22.572";"2023-04-07";"07:57:22";"SLCS";"";"Light Curve start ";"hm205"
"2023-04-07 07:57:22.572";"2023-04-07";"07:57:22";"REG1";"";"#1: alpha: 0.433, ETRm: 25.728, Ik: 59.353   ( beta: 0.003, ETRmPot: 26.885 )   (Platt et al. 1980) ";""
"2023-04-07 07:57:22.572";"2023-04-07";"07:57:22";"REG2";"";"#1: alpha: 0.325, ETRm: 25.342, Ik: 78.038   (Jassby and Platt 1976) ";""
"2023-04-07 07:57:24.229";"2023-04-07";"07:57:24";"FO";"1";"72";"226";"0";"0.681";"0.0";"-";"-";"72";"226";"0.681"
"2023-04-07 07:57:54.528";"2023-04-07";"07:57:54";"F";"2";"75";"219";"45";"0.658";"12.4";"71";"0.032";"72";"226";"0.681"
"2023-04-07 07:58:24.828";"2023-04-07";"07:58:24";"F";"3";"80";"220";"66";"0.636";"17.6";"71";"0.027";"72";"226";"0.681"
"2023-04-07 07:58:55.121";"2023-04-07";"07:58:55";"F";"4";"78";"181";"90";"0.569";"21.5";"67";"0.249";"72";"226";"0.681"
"2023-04-07 07:59:25.412";"2023-04-07";"07:59:25";"F";"5";"81";"146";"125";"0.445";"23.4";"61";"0.548";"72";"226";"0.681"
"2023-04-07 07:59:55.709";"2023-04-07";"07:59:55";"F";"6";"86";"124";"190";"0.306";"24.4";"57";"0.823";"72";"226";"0.681"
"2023-04-07 08:00:26.011";"2023-04-07";"08:00:26";"F";"7";"87";"112";"285";"0.223";"26.7";"54";"1.018";"72";"226";"0.681"
"2023-04-07 08:00:56.307";"2023-04-07";"08:00:56";"F";"8";"90";"104";"420";"0.135";"23.8";"52";"1.173";"72";"226";"0.681"
"2023-04-07 08:01:26.600";"2023-04-07";"08:01:26";"F";"9";"92";"102";"625";"0.098";"25.7";"52";"1.216";"72";"226";"0.681"
"2023-04-07 08:01:29.794";"2023-04-07";"08:01:29";"SLCE";"";"Light Curve end ";""
"2023-04-07 08:02:14.548";"2023-04-07";"08:02:14";"SLCS";"";"Light Curve start ";"hm206"
"2023-04-07 08:02:14.548";"2023-04-07";"08:02:14";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 19.270 )   (Platt et al. 1980) ";""
"2023-04-07 08:02:14.548";"2023-04-07";"08:02:14";"REG2";"";"#1: alpha: 0.280, ETRm: 20.311, Ik: 72.650   (Jassby and Platt 1976) ";""
"2023-04-07 08:02:16.289";"2023-04-07";"08:02:16";"FO";"10";"114";"318";"0";"0.642";"0.0";"-";"-";"114";"318";"0.642"
"2023-04-07 08:02:46.591";"2023-04-07";"08:02:46";"F";"11";"122";"299";"45";"0.592";"11.2";"111";"0.064";"114";"318";"0.642"
"2023-04-07 08:03:16.881";"2023-04-07";"08:03:16";"F";"12";"125";"274";"66";"0.544";"15.1";"108";"0.161";"114";"318";"0.642"
"2023-04-07 08:03:47.181";"2023-04-07";"08:03:47";"F";"13";"122";"221";"90";"0.448";"16.9";"99";"0.439";"114";"318";"0.642"
