"2023-04-10";"11:33:05";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-04-10 07:53:07.042";"2023-04-10";"07:53:07";"SLCS";"";"Light Curve start ";"hm229"
"2023-04-10 07:53:07.042";"2023-04-10";"07:53:07";"REG1";"";"#1: alpha: 0.454, ETRm: 12.185, Ik: 26.811   ( beta: 0.001, ETRmPot: 12.332 )   (Platt et al. 1980) ";""
"2023-04-10 07:53:07.042";"2023-04-10";"07:53:07";"REG2";"";"#1: alpha: 0.308, ETRm: 12.075, Ik: 39.163   (Jassby and Platt 1976) ";""
"2023-04-10 07:53:08.775";"2023-04-10";"07:53:08";"FO";"1";"81";"220";"0";"0.632";"0.0";"-";"-";"81";"220";"0.632"
"2023-04-10 07:53:39.072";"2023-04-10";"07:53:39";"F";"2";"89";"182";"45";"0.511";"9.7";"75";"0.209";"81";"220";"0.632"
"2023-04-10 07:54:09.367";"2023-04-10";"07:54:09";"F";"3";"89";"152";"66";"0.414";"11.5";"70";"0.447";"81";"220";"0.632"
"2023-04-10 07:54:39.665";"2023-04-10";"07:54:39";"F";"4";"90";"132";"90";"0.318";"12.0";"65";"0.667";"81";"220";"0.632"
"2023-04-10 07:55:09.967";"2023-04-10";"07:55:09";"F";"5";"90";"117";"125";"0.231";"12.1";"61";"0.880";"81";"220";"0.632"
"2023-04-10 07:55:40.259";"2023-04-10";"07:55:40";"F";"6";"93";"109";"190";"0.147";"11.7";"59";"1.018";"81";"220";"0.632"
"2023-04-10 07:56:10.553";"2023-04-10";"07:56:10";"F";"7";"94";"106";"285";"0.113";"13.5";"58";"1.075";"81";"220";"0.632"
